Issue Type,Issue Key,Summary,Epic Name,Epic Link,Priority,Story Points,Sprint,Labels,Description,Acceptance Criteria
Epic,NLF-EP09,IA de Planejamento e Recomendacoes,IA de Planejamento e Recomendacoes,,High,,,"ai,planning","Sugestoes acionaveis por contexto.",""
Story,NLF-901,Quebra inteligente de tarefas,,NLF-EP09,Highest,8,7,"ai,checklist,mvp","Gerar subtarefas automaticamente.","Given tarefa ampla When solicitar IA Then sistema retorna subtarefas objetivas"
Story,NLF-902,Planejador diario inteligente,,NLF-EP09,High,8,11,"ai,planning","Montar ordem do dia com pausas.","Given agenda do dia When gerar plano Then blocos priorizados sao sugeridos"
Story,NLF-903,Insights financeiros inteligentes,,NLF-EP09,High,8,10,"ai,finance,mvp","Alertar variacoes e risco de saldo.","Given historico de gastos When analisar Then insights acionaveis sao exibidos"
Epic,NLF-EP10,Relacionamentos e WhatsApp,Relacionamentos e WhatsApp,,High,,,"relationships,whatsapp","Lembretes e mensagens para contatos importantes.",""
Story,NLF-1001,Cadastro de contatos importantes,,NLF-EP10,High,5,13,"relationships","Registrar pessoas e frequencia de contato.","Given frequencia configurada When periodo expira Then contato vira pendente"
Story,NLF-1002,Lembretes de contato social,,NLF-EP10,High,3,13,"relationships,notifications","Avisar usuario para retomar contato.","Given contato pendente When janela de alerta inicia Then lembrete e enviado"
Story,NLF-1003,Mensagens WhatsApp agendadas,,NLF-EP10,High,5,14,"relationships,whatsapp","Agendar envio para contatos.","Given agendamento valido When horario chega Then envio e registrado"
Epic,NLF-EP11,Bem-Estar e Pausas,Bem-Estar e Pausas,,Medium,,,"wellbeing","Pausas hidratacao e sobrecarga.",""
Story,NLF-1101,Timer de foco e pausa,,NLF-EP11,High,5,12,"wellbeing,mvp","Ciclo configuravel de foco pausa.","Given timer ativo When ciclo encerra Then alerta de pausa dispara"
Story,NLF-1102,Alertas de hidratacao,,NLF-EP11,Medium,3,12,"wellbeing","Lembretes de agua e alongamento.","Given tempo prolongado de foco When limite atingir Then aviso e enviado"
Story,NLF-1103,Deteccao de sobrecarga,,NLF-EP11,Medium,8,18,"wellbeing,ai","Sinalizar risco de burnout por padrao de uso.","Given baixa conclusao e excesso de tarefas When regras acionam Then recomendacao de ajuste aparece"
Epic,NLF-EP12,Segundo Cerebro e OCR,Segundo Cerebro e OCR,,Medium,,,"second-brain,ocr","Memoria semantica e extracao de documentos.",""
Story,NLF-1201,Notas e anexos,,NLF-EP12,Medium,5,15,"second-brain","Salvar notas audios e arquivos.","Given nota com anexo When salvar Then conteudo fica vinculado ao usuario"
Story,NLF-1202,Busca semantica com pgvector,,NLF-EP12,Medium,8,15,"second-brain,ai","Buscar por significado.","Given consulta natural When buscar Then resultados relevantes sao retornados"
Story,NLF-1203,OCR de boletos e comprovantes,,NLF-EP12,Medium,8,16,"ocr,finance","Extrair valor vencimento e favorecido.","Given imagem legivel When processar Then dados sao pre-preenchidos"
Epic,NLF-EP14,Seguranca Qualidade e Beta,Seguranca Qualidade e Beta,,High,,,"security,qa,beta","Hardening testes e validacao com usuarios.",""
Story,NLF-1401,Hardening de seguranca e LGPD,,NLF-EP14,High,8,19,"security,compliance","Consentimento trilhas e exclusao de dados.","Given solicitacao de exclusao When processada Then dados pessoais sao removidos"
Story,NLF-1402,Testes E2E de fluxos criticos,,NLF-EP14,High,8,19,"qa","Cobrir fluxos tarefa notificacao financeiro.","Given build candidata When suite executar Then fluxos criticos passam"
Story,NLF-1403,Beta fechado com usuarios piloto,,NLF-EP14,Highest,5,20,"beta","Publicacao e coleta estruturada de feedback.","Given piloto ativo When ciclo terminar Then melhorias priorizadas sao registradas"
